Locality,Aggregate rating,restaurant_count
" ILD Trade Centre Mall, Sohna Road",3.05,2
"12th Square Building, Banjara Hills",4.3,1
"A Hotel, Gurdev Nagar",3.6,1
"ARSS Mall, Paschim Vihar",3.1,1
Aaya Nagar,0.0,1
"Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",4.6,2
Abu Shagara,3.93,3
"Acropolis Mall, Kasba ",4.4,2
Adajan Gam,3.93,3
Adchini,3.29,13
Addition Hills,4.2,1
"Aditya Mega Mall, Karkardooma",3.28,4
Adyar,4.2,1
Aerocity,1.6,4
Aggar Nagar,3.5,1
"Aggarwal City Mall, Pitampura",3.03,3
"Aggarwal City Plaza, Rohini",3.04,5
Agra Cantt,3.67,3
Ain Khalid,3.4,1
Akashwani,3.6,1
Al Barari,3.9,1
Al Dhafrah,4.35,2
Al Doha Al Jadeeda,3.4,1
"Al Emadi Financial Square, Al Hilal",4.6,1
Al Ghanim,4.0,1
Al Hilal,4.2,1
Al Karama,4.2,2
Al Khan,4.3,1
Al Majaz,4.03,3
Al Mareija,4.15,2
Al Muntazah,3.8,1
Al Mushrif,4.2,1
Al Nahda,3.3,2
Al Nasr,3.8,1
Al Nud,4.2,1
"Al Qasba, Al Khan",4.2,1
"Al Wahda Mall, Al Wahda",4.35,2
Alaknanda,2.35,32
"Alam Sutera Town Center, Serpong Utara",3.7,1
Albany,3.56,19
"Albemarle Street, Mayfair",4.7,1
Alkapuri,4.1,8
Alum Rock,2.8,1
Ambavadi,4.2,1
"Ambience Mall, Gurgaon",4.15,2
"Ambience Mall, Vasant Kunj",3.42,12
Ames,4.7,2
Aminabad,4.9,1
Anand Lok,3.8,2
Anand Vihar,2.11,42
Anand Wali Goan,3.67,3
Anandpuri,3.5,1
"Andaz Delhi, Aerocity",3.0,1
"Anil Plaza, Christian Basti",4.25,2
Anjuna,4.57,3
"Anjuna Beach, Anjuna",3.5,1
Anna Nagar East,4.1,2
"Ansal Plaza Mall, Greater Noida",2.52,5
"Ansal Plaza Mall, Khel Gaon Marg",3.75,8
"Ansal Plaza Mall, Palam Vihar",2.25,4
Arambol,4.6,1
"Archer Street, Soho",4.5,1
Ardee City,0.47,19
Arera Colony,3.94,5
"Armada AVM, S�_���_t�_z�_, Yenimahalle",4.2,1
Armidale,3.5,1
Arya Nagar,3.3,1
Asa Norte,3.58,4
Asa Sul,2.97,6
Asaf Ali Road,2.03,3
Ashok Nagar,3.85,4
Ashok Vihar Phase 1,1.72,36
Ashok Vihar Phase 2,3.38,14
Ashok Vihar Phase 3,3.39,11
Ashram Road,3.7,1
Asmal۱mescit,4.7,1
Assi Ghat,3.55,2
Athens,4.2,20
Athlone,3.7,1
Athwa,4.03,3
Attavar,3.6,1
Augusta,4.14,15
Auroville,3.8,2
Azad Nagar,4.0,1
"BGC Stopover Pavillion, Bonifacio Global City",4.5,1
"BMC Bhawani Mall, Sahid Nagar",4.0,2
BRS Nagar,4.1,1
Badarpur Border,1.91,9
Badkal Lake,0.0,1
Baga,4.1,3
Bajaj Nagar,3.86,5
"Balewadi High Street, Balewadi",4.5,1
Balgat,4.4,2
Balingup,3.2,1
Ballygunge,4.32,4
Balmatta,3.71,7
Balmoral,4.3,1
"Bambalapitiya, Colombo 04",2.9,2
Baner,3.95,2
Banjara Hills,4.8,2
Barakhamba Road,2.41,16
Barra da Tijuca,4.0,1
Barsha 2,4.5,1
"Barwa Towers, Al Sadd",4.9,1
"Basant Lok Market, Vasant Vihar",3.22,15
Basant Nagar,3.65,2
"Bayfront Avenue, Downtown Core",3.4,1
"Bayfront Subzone, Downtown Core",4.0,1
"Beak Street, Soho",4.9,1
Beaverdale,4.5,1
Bebek,4.9,1
Beechworth,4.6,1
"Bela Vista, Centro",4.45,2
"Bellagio, Ashok Vihar Phase 2",3.3,3
"Best Western Skycity Hotel, Sector 15, Gurgaon",2.85,2
"Best Western Taurus Hotel, Mahipalpur",2.7,1
Betalbatim,4.4,1
Bettendorf,4.22,5
Be��ikta�� Merkez,4.2,1
Bhavathi,4.2,1
Bhawar Kuan,3.9,2
Bhelupur,3.5,3
Bhikaji Cama Place,2.76,9
"Bishopsgate, City Of London",4.9,1
Blackfoot,3.7,1
"BluPetal Hotel, Koramangala",4.1,1
Bodakdev,4.34,5
Bogor Timur,3.7,1
Bogor Utara,4.0,1
Boise,4.27,18
"Bon Vivant, College Road",3.55,2
Bonaire,3.9,1
Bonifacio Global City,4.4,1
Borivali East,4.0,1
Borivali West,4.05,2
"Boundary Street, Shoreditch",4.5,1
Brahmaputra Shopping Complex,3.52,4
Braselton,4.4,1
"Bras�_lia Shopping, Asa Norte",4.2,1
Brindleyplace,3.7,1
"Brindleyplace, Broad Street",4.0,1
Britomart,4.57,3
"Broadwick Street, Soho",4.7,1
Brooklyn,4.4,3
Bryanston,4.4,2
"Bryanston Shopping Centre, Bryanston",4.4,1
"Bullring Shopping Centre, Southside",3.83,3
C G Road,3.8,1
C Scheme,4.23,6
CBD,4.1,3
CIDCO,3.33,7
"CITY WALK, Al Safa",4.5,1
"CMR Central Mall, Maddilapalem",4.6,1
Caddebostan,4.9,1
Calangute,3.7,1
"Calangute Beach, Calangute",4.3,1
Calhoun,4.17,3
Camac Street Area,4.4,1
Candolim,4.0,2
"Cantonment Road, Outram",3.8,1
"Caravan Complex, Al Hilal",3.6,1
Cavelossim,4.6,1
"Cavendish Square, Claremont",4.1,1
Cedar Falls,3.65,13
Cedar Rapids,4.12,8
Cengkareng,4.9,1
"Centaur Hotel, Aerocity",0.0,1
"Central Arcade, DLF Phase 2, Gurgaon",3.9,1
"Central Plaza Mall, Golf Course Road",3.5,10
"Centre Stage Mall, Sector 18",3.1,4
Centro,4.8,1
"Century City Mall, Poblacion, Makati City",4.8,1
Chamrajpura,3.67,3
Chanakyapuri,2.7,32
Chander Nagar,3.09,7
Chandigarh Industrial Area,3.7,1
Chandmari,4.4,2
Chandni Chowk,2.76,67
Chandrasekharpur,4.25,4
"Charlotte Street, Fitzrovia",4.6,1
Charmwood Village,1.47,6
Chatham-Kent,3.7,1
Chatsworth,3.9,1
Chawri Bazar,3.8,12
Cheetham Hill,3.3,2
Chelsea,4.7,1
Chhatarpur,2.7,1
Chicalthana,3.3,1
"Chinatown, Outram",3.1,1
Chittaranjan Park,2.45,46
Chittoor Road,4.6,1
"Chokhi Dhani Village Resort, Tonk Road",4.3,1
Christian Basti,4.28,4
Chubbuck,3.5,1
Chukkuwala,3.7,2
Church Street District,4.4,1
"Cinnamon Gardens, Colombo 07",3.82,4
"City Center, Parijat Nagar",3.8,1
City Centre,4.4,2
"City Centre Mall, Rohini",3.4,1
"City Hall, Downtown Core",3.8,1
City Light,4.13,3
"City Square Mall, Rajouri Garden",3.17,3
City and Suburban,4.9,1
Civil Lines,2.95,42
Claremont,3.9,1
Clarkesville,4.1,1
Clatskanie,4.3,1
Clearwater,4.6,1
Clive,4.05,2
Cochrane,3.1,1
College Road,3.45,8
Colmore Business District,4.5,1
Columbus,4.01,19
"Community Centre, New Friends Colony",2.93,18
"Conduit Street, Mayfair",4.5,1
Connaught Place,3.69,122
Consola�_��o,3.6,2
Consort,3.0,1
Copacabana,4.47,3
Coralville,3.95,2
"Country Inn & Suites By Carlson, Udyog Vihar",3.5,1
"Country Inn & Suites by Carlson, Gurgaon",3.8,1
"Country Inn & Suites by Carlson, Sector 12",3.25,2
"Country Inn & Suites, Sohna Road",3.4,1
"Courtyard By Marriott, Satellite",3.6,1
"Courtyard by Marriott Agra, Tajganj",4.0,1
"Courtyard by Marriott, Sushant Lok",1.6,2
Covent Garden,4.1,1
"Crescent Square Mall, Rohini",3.15,4
"Cross Point Mall, DLF Phase 4",3.91,8
"Cross River Mall, Karkardooma",3.32,5
"Crown Interiorz Mall, Sector 35, Faridabad",2.57,12
"Crown Plaza Mall, Sector 15, Faridabad",2.92,4
"Crowne Plaza Abu Dhabi, Al Markaziya",4.4,1
"Crowne Plaza Hotel, Rohini",3.6,2
"Crowne Plaza, Mayur Vihar Phase 1",3.35,2
"Crowne Plaza, Sector 29",3.8,2
"Cyber Greens, DLF Cyber City",2.8,1
"Cyber Hub, DLF Cyber City",3.86,41
"D Mall, Netaji Subhash Place",3.48,5
"D'arblay Street, Soho",4.5,1
"DB City, Maharana Pratap Nagar",4.03,3
"DDA Market, Kalu Sarai, Hauz Khas",1.5,2
DIFC,4.9,1
"DLF City Centre Mall, Shalimar Bagh",2.58,5
DLF Cyber City,3.46,5
"DLF Emporio Mall, Vasant Kunj",3.65,2
"DLF Galleria, DLF Phase 4",3.58,17
"DLF Mall of India, Sector 18,  Noida",3.84,31
"DLF Mega Mall, DLF Phase 1",2.81,15
DLF Phase 1,2.86,27
DLF Phase 2,0.38,10
DLF Phase 3,3.2,69
DLF Phase 4,3.8,21
DLF Phase 5,3.68,4
"DLF Place Mall, Saket",3.7,12
"DLF Promenade Mall, Vasant Kunj",3.76,13
"DLF South Point Mall, Golf Course Road",3.71,15
